,Q26,Q2,Q13,Q17,Q19,Q20,Q22,Q3,Q14,Q16,Q18,Q23,Q25,Q7,Q8,Q9,Q10
0,Moderately agree,Moderately useless,Slightly useful,Moderately Necessary,Slightly Unnecessary,Slightly Unnecessary,Moderately Unnecessary,,,,,,,18 - 24,Female,Urban area,No
1,Moderately agree,,,,,,,Extremely useful,Moderately useful,Moderately Necessary,Moderately Necessary,Moderately Necessary,Moderately Unnecessary,18 - 24,Male,Urban area,No
2,Strongly disagree,,,,,,,Moderately useful,Extremely useless,Moderately Necessary,Extremely Unnecessary,Slightly Unnecessary,Moderately Necessary,18 - 24,Male,Urban area,No
3,Strongly agree,,,,,,,Moderately useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
4,Moderately agree,Slightly useful,Moderately useful,Moderately Necessary,Slightly Necessary,Moderately Necessary,Slightly Necessary,,,,,,,18 - 24,Male,Urban area,No
5,Moderately agree,Extremely useless,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Necessary,,,,,,,25 - 34,Female,Urban area,No
6,Strongly agree,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Female,Urban area,
7,Moderately agree,,,,,,,Extremely useful,Moderately useful,Moderately Necessary,Moderately Necessary,Slightly Necessary,Moderately Necessary,18 - 24,Male,Urban area,No
8,Moderately agree,,,,,,,Moderately useful,Extremely useful,Extremely Necessary,Moderately Necessary,Moderately Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
9,Strongly agree,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Moderately Necessary,Moderately Necessary,18 - 24,Male,Urban area,Yes
10,Strongly agree,Slightly useful,Extremely useful,Moderately Necessary,Slightly Unnecessary,Extremely Necessary,Slightly Unnecessary,,,,,,,18 - 24,Male,Urban area,No
11,Moderately disagree,Extremely useless,Slightly useful,Moderately Necessary,Slightly Necessary,Moderately Necessary,Slightly Necessary,,,,,,,18 - 24,Male,Urban area,No
12,Slightly agree,,,,,,,Extremely useful,Extremely useful,Extremely Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
13,Strongly agree,Slightly useless,Extremely useful,Moderately Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,,,,,,,18 - 24,Male,Urban area,No
14,Moderately agree,,,,,,,Moderately useful,Extremely useful,Moderately Necessary,Extremely Necessary,Extremely Necessary,Extremely Necessary,18 - 24,Male,Urban area,No
15,Moderately agree,Extremely useful,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Unnecessary,,,,,,,18 - 24,Female,Urban area,No
16,Moderately agree,Moderately useful,Extremely useful,Extremely Necessary,Moderately Necessary,Extremely Necessary,Moderately Unnecessary,,,,,,,18 - 24,Female,Urban area,No
